id,drive,acceleration,topspeed,electricrange,totalpower,totaltorque,batterycapacity,chargespeed,length,width,height,wheelbase,grossweight
1647,Rear,7.8,185,390,168,350,77.4,49,4515,1890,1580,2900,2495
1493,AWD,6.2,160,330,215,520,69.7,46,4684,1834,1701,2829,2580
1229,AWD,3.2,260,415,500,850,93.4,46,4963,1966,1381,2900,2880
1252,Rear,5.7,190,470,250,430,83.9,54,4783,1852,1448,2856,2605
1534,Rear,7.9,160,450,150,310,82,55,4261,1809,1568,2771,2300
1178,Rear,8.9,160,275,110,310,55,38,4322,1809,1540,2766,2240
1279,Rear,8.7,160,330,132,310,62,53,4649,1879,1616,2764,2509
1438,AWD,3.3,250,400,500,850,93.4,45,4974,1967,1412,2904,2880
1281,AWD,6.9,160,400,195,425,82,49,4653,1879,1604,2768,2750
1625,AWD,3.2,260,405,500,850,93.4,45,4963,1966,1391,2900,2880
1280,Rear,8.6,160,420,150,310,82,51,4649,1879,1616,2765,2616
1475,AWD,4.9,200,330,212,665,69.9,47,4674,1919,1618,2804,2373
1421,AWD,4.7,180,350,300,660,78,44,4440,1873,1596,2702,2620
1327,Front,9,135,135,70,220,23.8,59,3631,1683,1529,2322,1580
1667,Rear,6.7,180,350,200,343,66,34,4270,1822,1636,2750,2213
1662,Rear,7.3,185,390,168,350,77.4,49,4635,1890,1605,3000,2450
1522,Front,11.7,135,200,100,260,50,28,4403,1921,1878,2785,2305
1546,Front,11.7,135,200,100,260,50,28,4403,1921,1844,2785,2290
1653,AWD,3.5,220,480,460,950,100,50,4946,1906,1492,3120,3095
1186,AWD,5.1,220,425,350,500,93.4,47,4974,1967,1409,2904,2885
1648,AWD,5.5,200,380,234,605,77.4,48,4515,1890,1580,2900,2610
1624,AWD,4,250,430,420,650,93.4,48,4963,1966,1390,2900,2875
1490,Rear,8.5,160,405,150,310,82,49,4588,1865,1632,2764,2640
1721,Front,12.1,130,180,100,260,50,25,4956,1920,1890,3275,2900
1593,AWD,4.9,180,340,300,660,78,42,4425,1873,1652,2702,2650
1489,Rear,10.9,160,285,109,220,55,34,4584,1852,1640,2771,2480
1535,Rear,6.8,180,385,210,400,80,49,4734,1891,1668,2864,2725
1488,AWD,4.7,205,395,300,660,78,49,4607,1800,1479,2735,2600
1565,AWD,6.9,160,370,160,336,75,29,4690,1860,1600,2850,2275
1290,Rear,9,160,295,125,310,55,35,4588,1865,1614,2764,2475
1666,Front,7.8,167,380,150,255,68,55,4420,1825,1570,2720,2200
1582,Front,8.7,150,260,100,260,50,36,4118,1802,1534,2558,1975
1484,AWD,4.3,210,605,385,855,120,52,5216,1926,1512,3210,3060
1595,Front,12.1,130,180,100,260,50,25,4956,1920,1890,3275,3015
1524,Rear,7.9,200,335,132,410,69.9,48,4674,1919,1618,2804,2288
1596,Front,12.1,130,175,100,260,50,24,5308,1920,1890,3275,3030
1314,Rear,8.5,160,410,150,310,82,50,4584,1852,1631,2771,2660
1592,Front,7.4,160,335,170,330,69,47,4425,1873,1652,2702,2460
1516,Rear,7.3,160,350,150,310,62,56,4322,1809,1540,2766,2260
1584,Front,8.5,150,255,100,260,50,36,4300,1770,1530,2605,2030
1496,AWD,6,160,350,215,520,69.7,49,4463,1834,1620,2729,2535
1587,Front,9.7,150,265,100,260,50,37,4360,1800,1525,2670,2020
1610,Front,12.1,130,175,100,260,50,24,5308,1920,1890,3275,3030
1471,AWD,3.5,260,370,430,740,77.4,47,4695,1890,1545,2900,2610
1698,Front,8.6,160,375,140,385,73.9,50,4463,1834,1620,2729,2470
1351,Front,13.1,130,180,100,260,50,25,4959,1920,1877,3275,3015
1672,AWD,4.4,200,425,358,860,98.7,44,4743,1881,1613,2984,2717
1646,Front,8.5,185,260,130,280,50.3,53,4600,1818,1543,2659,2017
1495,AWD,7.7,160,350,168,390,69.7,49,4463,1834,1620,2729,2535
1649,AWD,4,235,365,360,700,77.4,46,4515,1890,1580,2900,2660
1537,AWD,3.4,250,565,560,1020,120,49,5223,1926,1518,3210,3225
1423,Front,7.9,167,395,150,395,67.5,58,4205,1800,1570,2600,2170
1725,AWD,4.2,235,350,360,700,77.4,44,4715,1910,1630,2875,2845
1708,Rear,7.9,160,365,150,250,64,55,4287,1836,1504,2705,2133
1748,AWD,3.9,180,335,315,543,66,98,4300,1822,1636,2750,2325
1669,Rear,7,180,455,216,430,98.7,47,4713,1881,1624,2984,2605
1476,Rear,8.5,185,295,125,350,58,51,4635,1890,1605,3000,2370
1659,AWD,4.5,210,330,370,973,95,36,4902,1976,1615,2928,3280
1240,Front,12.1,160,305,150,362,100,32,5140,1928,1901,3200,3500
1233,Rear,8.3,145,170,113,315,35.5,33,3894,1752,1512,2538,1870
1342,Front,12.1,130,175,100,260,50,24,5308,1920,1890,3275,2965
1560,AWD,3.7,250,450,440,850,93.4,50,4963,1966,1381,2900,2850
1605,Front,13.1,130,180,100,260,50,25,4959,1920,1877,3275,3015
1527,AWD,6.9,180,385,195,425,82,47,4588,1865,1632,2764,2720
1715,AWD,6.3,210,500,215,765,100,52,4946,1906,1492,3120,2970
1697,Front,8.6,160,355,140,385,69.7,50,4463,1834,1620,2729,2470
1608,Front,14.3,130,260,100,260,75,24,5308,1920,1890,3275,3100
1701,AWD,5.6,180,355,230,494,68,51,4500,1845,1616,2692,2580
1700,AWD,4.8,210,605,330,855,120,52,5216,1926,1512,3210,3060
1411,Rear,9,160,285,125,310,55,34,4584,1852,1640,2771,2480
1422,Front,9.9,155,250,100,395,42,39,4205,1800,1570,2600,2020
1285,Front,9,150,235,87,220,42,59,3631,1683,1529,2322,1690
1606,Front,13.1,130,175,100,260,50,24,5309,1920,1877,3275,3030
1410,Front,12,132,225,85,270,43.5,32,4135,1750,1560,2490,1870
1657,Front,6.9,157,340,160,340,62,32,4490,1788,1540,2700,2140
1628,Rear,8.8,160,335,132,310,62,54,4653,1879,1617,2765,2510
1474,Front,8.3,185,325,115,280,61.1,53,4600,1818,1543,2659,2017
1651,Rear,10.2,145,330,150,310,82,40,4712,1985,1927,2989,3000
1590,AWD,3.8,250,485,455,1100,111.5,43,4953,1967,1696,3000,3160
1337,AWD,5.1,180,370,300,760,85,43,4762,1884,1624,2873,2940
1514,Front,13.1,130,265,100,260,75,25,4959,1920,1890,3275,3100
1541,Front,8.4,175,365,115,280,72.6,34,4323,1809,1649,2581,2070
1655,Front,7.4,160,330,170,330,69,46,4440,1873,1596,2702,2470
1237,AWD,4,250,395,390,640,79.2,52,4963,1966,1379,2900,2880
1716,AWD,4.7,210,500,300,858,100,52,4946,1906,1492,3120,2970
1588,Front,10.5,150,365,96,250,60,110,4200,1768,1505,2685,2116
1723,Front,12.1,130,175,100,260,50,24,5306,1920,1890,3275,2925
